"year","month","day","h","m","OpenPrice","ClosePrice","HighPrice","LowPrice"
"2020","6","17","20","59","4249","4249","4249","4249"
"2020","6","17","21","0","4249","4251","4251","4243"
"2020","6","17","21","1","4250","4250","4253","4247"
"2020","6","17","21","2","4250","4249","4250","4245"
"2020","6","17","21","3","4249","4251","4251","4247"
"2020","6","17","21","4","4250","4252","4253","4250"
"2020","6","17","21","5","4253","4252","4255","4251"
"2020","6","17","21","6","4253","4253","4255","4252"
"2020","6","17","21","7","4253","4252","4253","4251"
"2020","6","17","21","8","4252","4256","4257","4251"
"2020","6","17","21","9","4255","4254","4256","4253"
"2020","6","17","21","10","4254","4255","4255","4253"
"2020","6","17","21","11","4255","4252","4255","4252"
"2020","6","17","21","12","4252","4252","4255","4252"
"2020","6","17","21","13","4252","4251","4252","4248"
"2020","6","17","21","14","4250","4251","4252","4249"
"2020","6","17","21","15","4251","4254","4254","4250"
"2020","6","17","21","16","4254","4249","4254","4248"
"2020","6","17","21","17","4249","4245","4249","4244"
"2020","6","17","21","18","4244","4244","4246","4240"
"2020","6","17","21","19","4244","4241","4246","4238"
"2020","6","17","21","20","4241","4239","4242","4236"
"2020","6","17","21","21","4239","4237","4240","4236"
"2020","6","17","21","22","4238","4237","4238","4233"
"2020","6","17","21","23","4238","4240","4242","4237"
"2020","6","17","21","24","4241","4241","4243","4240"
"2020","6","17","21","25","4241","4239","4241","4238"
"2020","6","17","21","26","4239","4240","4241","4239"
"2020","6","17","21","27","4241","4242","4242","4239"
"2020","6","17","21","28","4241","4243","4244","4241"
"2020","6","17","21","29","4243","4242","4243","4241"
"2020","6","17","21","30","4242","4243","4246","4240"
"2020","6","17","21","31","4244","4245","4246","4243"
"2020","6","17","21","32","4244","4243","4245","4242"
"2020","6","17","21","33","4242","4240","4244","4239"
"2020","6","17","21","34","4239","4242","4242","4236"
"2020","6","17","21","35","4242","4243","4244","4240"
"2020","6","17","21","36","4243","4244","4246","4243"
"2020","6","17","21","37","4244","4244","4245","4242"
"2020","6","17","21","38","4244","4244","4245","4243"
"2020","6","17","21","39","4243","4247","4247","4243"
"2020","6","17","21","40","4247","4247","4249","4245"
"2020","6","17","21","41","4247","4244","4248","4243"
"2020","6","17","21","42","4244","4245","4245","4243"
"2020","6","17","21","43","4245","4245","4246","4244"
"2020","6","17","21","44","4245","4247","4248","4245"
"2020","6","17","21","45","4247","4247","4247","4244"
"2020","6","17","21","46","4247","4245","4247","4244"
"2020","6","17","21","47","4245","4245","4247","4244"
"2020","6","17","21","48","4245","4247","4248","4243"
"2020","6","17","21","49","4247","4247","4247","4245"
"2020","6","17","21","50","4247","4247","4247","4245"
"2020","6","17","21","51","4246","4245","4247","4243"
"2020","6","17","21","52","4245","4244","4245","4243"
"2020","6","17","21","53","4244","4243","4244","4243"
"2020","6","17","21","54","4243","4241","4243","4240"
"2020","6","17","21","55","4241","4240","4242","4238"
"2020","6","17","21","56","4240","4242","4242","4238"
"2020","6","17","21","57","4242","4242","4242","4240"
"2020","6","17","21","58","4242","4243","4243","4240"
"2020","6","17","21","59","4242","4239","4243","4239"
"2020","6","17","22","0","4240","4237","4240","4233"
"2020","6","17","22","1","4237","4235","4239","4233"
"2020","6","17","22","2","4234","4234","4236","4232"
"2020","6","17","22","3","4235","4233","4236","4232"
"2020","6","17","22","4","4232","4235","4238","4232"
"2020","6","17","22","5","4235","4236","4238","4234"
"2020","6","17","22","6","4236","4237","4237","4234"
"2020","6","17","22","7","4237","4238","4240","4237"
"2020","6","17","22","8","4238","4238","4239","4237"
"2020","6","17","22","9","4237","4241","4241","4237"
"2020","6","17","22","10","4241","4241","4241","4239"
"2020","6","17","22","11","4241","4240","4241","4238"
"2020","6","17","22","12","4240","4238","4240","4237"
"2020","6","17","22","13","4238","4238","4240","4237"
"2020","6","17","22","14","4238","4237","4239","4236"
"2020","6","17","22","15","4238","4235","4238","4234"
"2020","6","17","22","16","4236","4236","4237","4234"
"2020","6","17","22","17","4236","4238","4239","4236"
"2020","6","17","22","18","4238","4236","4238","4234"
"2020","6","17","22","19","4236","4235","4237","4234"
"2020","6","17","22","20","4234","4237","4238","4232"
"2020","6","17","22","21","4237","4236","4238","4235"
"2020","6","17","22","22","4236","4234","4237","4233"
"2020","6","17","22","23","4234","4227","4235","4226"
"2020","6","17","22","24","4228","4227","4229","4223"
"2020","6","17","22","25","4226","4224","4227","4221"
"2020","6","17","22","26","4224","4227","4227","4224"
"2020","6","17","22","27","4226","4229","4230","4226"
"2020","6","17","22","28","4229","4229","4231","4228"
"2020","6","17","22","29","4230","4227","4230","4225"
"2020","6","17","22","30","4227","4228","4230","4224"
"2020","6","17","22","31","4229","4229","4229","4226"
